"title","format","web_url"
"British Embassy Kabul","Worldwide Organisation","https://www.gov.uk/government/world/organisations/british-embassy-kabul"
"Department for International Trade Afghanistan","Worldwide Organisation","https://www.gov.uk/government/world/organisations/uk-trade-investment-afghanistan"
